search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,solver
0,0,0.46232204469520966,0.06644661239746347,0.9493149873869058,0.004585184137895008,"{'alpha': np.float64(0.000931236115891049), 'hidden_layer_sizes': (1536, 384, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0012278118701294929), 'max_iter': 775, 'solver': 'adam'}",0.000931236115891049,"(1536, 384, 128)",constant,0.0012278118701294929,775,adam
0,1,0.47377762708606214,0.03942018942367029,0.9224009675177806,0.05754918763626725,"{'alpha': np.float64(0.0002726873314420516), 'hidden_layer_sizes': (1024, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0006605289521802501), 'max_iter': 1057, 'solver': 'adam'}",0.0002726873314420516,"(1024, 256)",constant,0.0006605289521802501,1057,adam
0,2,0.4898270162532884,0.019305988248880843,1.0,0.0,"{'alpha': np.float64(3.169272381661616e-05), 'hidden_layer_sizes': (768, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.00012001118383901491), 'max_iter': 1182, 'solver': 'lbfgs'}",3.169272381661616e-05,"(768, 256)",constant,0.00012001118383901491,1182,lbfgs
0,3,0.461904013752933,0.030555429619241497,1.0,0.0,"{'alpha': np.float64(0.0010010588689763217), 'hidden_layer_sizes': (1024, 384, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00011320234476580273), 'max_iter': 948, 'solver': 'lbfgs'}",0.0010010588689763217,"(1024, 384, 128)",adaptive,0.00011320234476580273,948,lbfgs
0,4,0.3998121197687762,0.0787488538888157,0.9051482636353739,0.06468071057937937,"{'alpha': np.float64(0.00492529355915249), 'hidden_layer_sizes': (768, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.07745921269037072), 'max_iter': 994, 'solver': 'sgd'}",0.00492529355915249,"(768, 256)",adaptive,0.07745921269037072,994,sgd
0,5,0.15899918710516275,0.04696049429748638,0.23785795267303075,0.1252435408821609,"{'alpha': np.float64(0.00015256894548649994), 'hidden_layer_sizes': (1024, 512, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0001803506606879986), 'max_iter': 749, 'solver': 'sgd'}",0.00015256894548649994,"(1024, 512, 128)",adaptive,0.0001803506606879986,749,sgd
0,6,0.44335270599069226,0.056277691502210854,0.9210552068229976,0.031161448280511372,"{'alpha': np.float64(0.002530934134383566), 'hidden_layer_sizes': (2048, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0011238439044234908), 'max_iter': 607, 'solver': 'adam'}",0.002530934134383566,"(2048, 256)",constant,0.0011238439044234908,607,adam
0,7,0.4672852596999684,0.026961347800257635,1.0,0.0,"{'alpha': np.float64(0.000201766182317629), 'hidden_layer_sizes': (1024, 384, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0005898462522161206), 'max_iter': 986, 'solver': 'lbfgs'}",0.000201766182317629,"(1024, 384, 128)",adaptive,0.0005898462522161206,986,lbfgs
0,8,0.48344056085999815,0.027429219438502538,1.0,0.0,"{'alpha': np.float64(0.0006073304805937115), 'hidden_layer_sizes': (1024, 384), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.008211596045717093), 'max_iter': 910, 'solver': 'lbfgs'}",0.0006073304805937115,"(1024, 384)",adaptive,0.008211596045717093,910,lbfgs
0,9,0.47647680726964625,0.023404159708250473,1.0,0.0,"{'alpha': np.float64(0.00017257825165441584), 'hidden_layer_sizes': (512,), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0033711212431103096), 'max_iter': 1127, 'solver': 'lbfgs'}",0.00017257825165441584,"(512,)",constant,0.0033711212431103096,1127,lbfgs
0,10,0.21113866862191455,0.06714811383971572,0.5271653724154408,0.1322828994926656,"{'alpha': np.float64(0.00015293251307877832), 'hidden_layer_sizes': (1024, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00022470767072418788), 'max_iter': 880, 'solver': 'sgd'}",0.00015293251307877832,"(1024, 256)",adaptive,0.00022470767072418788,880,sgd
0,11,0.3048913480263211,0.056368789162807006,0.7415289678311152,0.1799660500525028,"{'alpha': np.float64(0.0029251770323331272), 'hidden_layer_sizes': (1024,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0005987482784097586), 'max_iter': 598, 'solver': 'sgd'}",0.0029251770323331272,"(1024,)",adaptive,0.0005987482784097586,598,sgd
0,12,0.43070488316133754,0.06629142802473721,0.9176408573983045,0.04248424229598446,"{'alpha': np.float64(0.00019552657761961518), 'hidden_layer_sizes': (1024, 384, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0005604045279064157), 'max_iter': 571, 'solver': 'adam'}",0.00019552657761961518,"(1024, 384, 128)",constant,0.0005604045279064157,571,adam
0,13,0.4828952555070202,0.04434176187468485,1.0,0.0,"{'alpha': np.float64(5.4833720959418876e-05), 'hidden_layer_sizes': (768, 256, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.015106257547225808), 'max_iter': 1180, 'solver': 'lbfgs'}",5.4833720959418876e-05,"(768, 256, 128)",adaptive,0.015106257547225808,1180,lbfgs
0,14,0.04216322427832951,0.02708471147964046,0.03403205236567308,0.010102602589031355,"{'alpha': np.float64(0.005451717045798227), 'hidden_layer_sizes': (1024, 256, 64), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.06161733484193112), 'max_iter': 1059, 'solver': 'adam'}",0.005451717045798227,"(1024, 256, 64)",adaptive,0.06161733484193112,1059,adam
