search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,mlp1_activation,mlp1_alpha,mlp1_hidden_layers,mlp1_learning_rate,mlp1_learning_rate_init,mlp1_max_iter,mlp1_solver,mlp2_activation,mlp2_alpha,mlp2_hidden_layers,mlp2_learning_rate,mlp2_learning_rate_init,mlp2_max_iter,mlp2_solver,mlp3_activation,mlp3_alpha,mlp3_hidden_layers,mlp3_learning_rate,mlp3_learning_rate_init,mlp3_max_iter,mlp3_solver
0,0,0.16492139145911175,0.013211230559867797,0.9874172870699471,0.024787930027946506,"{'mlp1_activation': 'relu', 'mlp1_alpha': np.float64(0.0003060829122721056), 'mlp1_hidden_layers': (1024, 384, 128), 'mlp1_learning_rate': 'adaptive', 'mlp1_learning_rate_init': np.float64(0.07640632808807843), 'mlp1_max_iter': 1348, 'mlp1_solver': 'adam', 'mlp2_activation': 'logistic', 'mlp2_alpha': np.float64(0.003122932455710138), 'mlp2_hidden_layers': (128,), 'mlp2_learning_rate': 'adaptive', 'mlp2_learning_rate_init': np.float64(0.0005115569132287833), 'mlp2_max_iter': 744, 'mlp2_solver': 'sgd', 'mlp3_activation': 'tanh', 'mlp3_alpha': np.float64(0.0009679734529457295), 'mlp3_hidden_layers': (50,), 'mlp3_learning_rate': 'constant', 'mlp3_learning_rate_init': np.float64(0.0014715571316929233), 'mlp3_max_iter': 708, 'mlp3_solver': 'lbfgs'}",relu,0.0003060829122721056,"(1024, 384, 128)",adaptive,0.07640632808807843,1348,adam,logistic,0.003122932455710138,"(128,)",adaptive,0.0005115569132287833,744,sgd,tanh,0.0009679734529457295,"(50,)",constant,0.0014715571316929233,708,lbfgs
0,1,0.6171422663195527,0.027937049422838894,1.0,0.0,"{'mlp1_activation': 'relu', 'mlp1_alpha': np.float64(9.68186318098884e-05), 'mlp1_hidden_layers': (512, 256, 128), 'mlp1_learning_rate': 'adaptive', 'mlp1_learning_rate_init': np.float64(0.004150493552733112), 'mlp1_max_iter': 726, 'mlp1_solver': 'sgd', 'mlp2_activation': 'relu', 'mlp2_alpha': np.float64(1.3679623489235275e-05), 'mlp2_hidden_layers': (256, 128), 'mlp2_learning_rate': 'constant', 'mlp2_learning_rate_init': np.float64(0.027627121354867393), 'mlp2_max_iter': 1482, 'mlp2_solver': 'lbfgs', 'mlp3_activation': 'tanh', 'mlp3_alpha': np.float64(0.08602809918715944), 'mlp3_hidden_layers': (50,), 'mlp3_learning_rate': 'adaptive', 'mlp3_learning_rate_init': np.float64(0.002066000206465512), 'mlp3_max_iter': 522, 'mlp3_solver': 'lbfgs'}",relu,9.68186318098884e-05,"(512, 256, 128)",adaptive,0.004150493552733112,726,sgd,relu,1.3679623489235275e-05,"(256, 128)",constant,0.027627121354867393,1482,lbfgs,tanh,0.08602809918715944,"(50,)",adaptive,0.002066000206465512,522,lbfgs
0,2,0.601837051815472,0.028706255776506436,0.9610595896086741,0.005422523786820576,"{'mlp1_activation': 'relu', 'mlp1_alpha': np.float64(3.498700838131136e-05), 'mlp1_hidden_layers': (768, 256, 128), 'mlp1_learning_rate': 'adaptive', 'mlp1_learning_rate_init': np.float64(0.002118314599252704), 'mlp1_max_iter': 1230, 'mlp1_solver': 'adam', 'mlp2_activation': 'logistic', 'mlp2_alpha': np.float64(0.0036337994866951695), 'mlp2_hidden_layers': (128, 64), 'mlp2_learning_rate': 'constant', 'mlp2_learning_rate_init': np.float64(0.0009506613365349251), 'mlp2_max_iter': 524, 'mlp2_solver': 'sgd', 'mlp3_activation': 'logistic', 'mlp3_alpha': np.float64(0.0016180942499247075), 'mlp3_hidden_layers': (50, 25), 'mlp3_learning_rate': 'adaptive', 'mlp3_learning_rate_init': np.float64(0.0014534949492419407), 'mlp3_max_iter': 693, 'mlp3_solver': 'adam'}",relu,3.498700838131136e-05,"(768, 256, 128)",adaptive,0.002118314599252704,1230,adam,logistic,0.0036337994866951695,"(128, 64)",constant,0.0009506613365349251,524,sgd,logistic,0.0016180942499247075,"(50, 25)",adaptive,0.0014534949492419407,693,adam
0,3,0.2718812330799019,0.024338641972199627,0.9992860655083844,0.0006536264349872839,"{'mlp1_activation': 'relu', 'mlp1_alpha': np.float64(0.008739671864179475), 'mlp1_hidden_layers': (1024, 256, 128), 'mlp1_learning_rate': 'adaptive', 'mlp1_learning_rate_init': np.float64(0.0022660395488911713), 'mlp1_max_iter': 575, 'mlp1_solver': 'sgd', 'mlp2_activation': 'tanh', 'mlp2_alpha': np.float64(0.0001585193200818417), 'mlp2_hidden_layers': (128, 64), 'mlp2_learning_rate': 'adaptive', 'mlp2_learning_rate_init': np.float64(0.0018959979261288268), 'mlp2_max_iter': 854, 'mlp2_solver': 'adam', 'mlp3_activation': 'tanh', 'mlp3_alpha': np.float64(1.8428545593620372e-05), 'mlp3_hidden_layers': (50,), 'mlp3_learning_rate': 'constant', 'mlp3_learning_rate_init': np.float64(0.024880224032445206), 'mlp3_max_iter': 686, 'mlp3_solver': 'lbfgs'}",relu,0.008739671864179475,"(1024, 256, 128)",adaptive,0.0022660395488911713,575,sgd,tanh,0.0001585193200818417,"(128, 64)",adaptive,0.0018959979261288268,854,adam,tanh,1.8428545593620372e-05,"(50,)",constant,0.024880224032445206,686,lbfgs
0,4,0.32146196506309616,0.023485008191602402,0.9998688764835759,0.0002622470328483839,"{'mlp1_activation': 'logistic', 'mlp1_alpha': np.float64(0.0002519534590511365), 'mlp1_hidden_layers': (768, 256), 'mlp1_learning_rate': 'constant', 'mlp1_learning_rate_init': np.float64(0.02234367515302392), 'mlp1_max_iter': 1116, 'mlp1_solver': 'adam', 'mlp2_activation': 'logistic', 'mlp2_alpha': np.float64(0.0009309361103599312), 'mlp2_hidden_layers': (256, 128), 'mlp2_learning_rate': 'adaptive', 'mlp2_learning_rate_init': np.float64(0.004492727090945529), 'mlp2_max_iter': 563, 'mlp2_solver': 'lbfgs', 'mlp3_activation': 'logistic', 'mlp3_alpha': np.float64(0.010036054882706593), 'mlp3_hidden_layers': (50,), 'mlp3_learning_rate': 'adaptive', 'mlp3_learning_rate_init': np.float64(0.011917931787509632), 'mlp3_max_iter': 869, 'mlp3_solver': 'adam'}",logistic,0.0002519534590511365,"(768, 256)",constant,0.02234367515302392,1116,adam,logistic,0.0009309361103599312,"(256, 128)",adaptive,0.004492727090945529,563,lbfgs,logistic,0.010036054882706593,"(50,)",adaptive,0.011917931787509632,869,adam
1,0,0.5418499593653535,0.01969920635528046,1.0,0.0,"{'mlp1_activation': 'logistic', 'mlp1_alpha': np.float64(0.031728678426666594), 'mlp1_hidden_layers': (1024, 256, 128), 'mlp1_learning_rate': 'constant', 'mlp1_learning_rate_init': np.float64(0.00026413611706102975), 'mlp1_max_iter': 1402, 'mlp1_solver': 'sgd', 'mlp2_activation': 'logistic', 'mlp2_alpha': np.float64(0.02160979770576127), 'mlp2_hidden_layers': (256, 128, 64), 'mlp2_learning_rate': 'adaptive', 'mlp2_learning_rate_init': np.float64(0.007536926870072843), 'mlp2_max_iter': 1231, 'mlp2_solver': 'lbfgs', 'mlp3_activation': 'relu', 'mlp3_alpha': np.float64(9.39069829403794e-05), 'mlp3_hidden_layers': (50, 25), 'mlp3_learning_rate': 'adaptive', 'mlp3_learning_rate_init': np.float64(0.006017914662849908), 'mlp3_max_iter': 738, 'mlp3_solver': 'lbfgs'}",logistic,0.031728678426666594,"(1024, 256, 128)",constant,0.00026413611706102975,1402,sgd,logistic,0.02160979770576127,"(256, 128, 64)",adaptive,0.007536926870072843,1231,lbfgs,relu,9.39069829403794e-05,"(50, 25)",adaptive,0.006017914662849908,738,lbfgs
1,1,0.6151536551520355,0.03991767343767271,1.0,0.0,"{'mlp1_activation': 'relu', 'mlp1_alpha': np.float64(0.007357703124514354), 'mlp1_hidden_layers': (768, 256, 128), 'mlp1_learning_rate': 'adaptive', 'mlp1_learning_rate_init': np.float64(0.0003440075210873416), 'mlp1_max_iter': 1017, 'mlp1_solver': 'adam', 'mlp2_activation': 'logistic', 'mlp2_alpha': np.float64(0.020875141950517023), 'mlp2_hidden_layers': (256,), 'mlp2_learning_rate': 'constant', 'mlp2_learning_rate_init': np.float64(0.00030851777198717494), 'mlp2_max_iter': 1302, 'mlp2_solver': 'lbfgs', 'mlp3_activation': 'relu', 'mlp3_alpha': np.float64(0.06080861053055127), 'mlp3_hidden_layers': (50,), 'mlp3_learning_rate': 'constant', 'mlp3_learning_rate_init': np.float64(0.0007859948496984373), 'mlp3_max_iter': 837, 'mlp3_solver': 'lbfgs'}",relu,0.007357703124514354,"(768, 256, 128)",adaptive,0.0003440075210873416,1017,adam,logistic,0.020875141950517023,"(256,)",constant,0.00030851777198717494,1302,lbfgs,relu,0.06080861053055127,"(50,)",constant,0.0007859948496984373,837,lbfgs
1,2,0.4527650116118761,0.04634692954572417,0.8829609939772565,0.09185426888524874,"{'mlp1_activation': 'tanh', 'mlp1_alpha': np.float64(0.0010015297789251478), 'mlp1_hidden_layers': (768, 256, 128), 'mlp1_learning_rate': 'adaptive', 'mlp1_learning_rate_init': np.float64(0.0015486170897444005), 'mlp1_max_iter': 676, 'mlp1_solver': 'adam', 'mlp2_activation': 'relu', 'mlp2_alpha': np.float64(0.02152954364873828), 'mlp2_hidden_layers': (128, 64), 'mlp2_learning_rate': 'adaptive', 'mlp2_learning_rate_init': np.float64(0.0006700359752998228), 'mlp2_max_iter': 1431, 'mlp2_solver': 'sgd', 'mlp3_activation': 'logistic', 'mlp3_alpha': np.float64(0.08325412083815434), 'mlp3_hidden_layers': (50, 25), 'mlp3_learning_rate': 'adaptive', 'mlp3_learning_rate_init': np.float64(0.09332868615704655), 'mlp3_max_iter': 528, 'mlp3_solver': 'adam'}",tanh,0.0010015297789251478,"(768, 256, 128)",adaptive,0.0015486170897444005,676,adam,relu,0.02152954364873828,"(128, 64)",adaptive,0.0006700359752998228,1431,sgd,logistic,0.08325412083815434,"(50, 25)",adaptive,0.09332868615704655,528,adam
1,3,0.5615659602297335,0.038234047377071055,1.0,0.0,"{'mlp1_activation': 'logistic', 'mlp1_alpha': np.float64(0.06079214302033537), 'mlp1_hidden_layers': (768, 256, 128), 'mlp1_learning_rate': 'constant', 'mlp1_learning_rate_init': np.float64(0.004517954069910493), 'mlp1_max_iter': 950, 'mlp1_solver': 'adam', 'mlp2_activation': 'tanh', 'mlp2_alpha': np.float64(0.016894043947169403), 'mlp2_hidden_layers': (256, 128), 'mlp2_learning_rate': 'adaptive', 'mlp2_learning_rate_init': np.float64(0.05109127514158733), 'mlp2_max_iter': 629, 'mlp2_solver': 'lbfgs', 'mlp3_activation': 'relu', 'mlp3_alpha': np.float64(0.0001786193432528457), 'mlp3_hidden_layers': (50, 25), 'mlp3_learning_rate': 'adaptive', 'mlp3_learning_rate_init': np.float64(0.00130666501699294), 'mlp3_max_iter': 649, 'mlp3_solver': 'lbfgs'}",logistic,0.06079214302033537,"(768, 256, 128)",constant,0.004517954069910493,950,adam,tanh,0.016894043947169403,"(256, 128)",adaptive,0.05109127514158733,629,lbfgs,relu,0.0001786193432528457,"(50, 25)",adaptive,0.00130666501699294,649,lbfgs
1,4,0.23189818336634146,0.019249070482720093,0.8633192203766649,0.1356226007021948,"{'mlp1_activation': 'logistic', 'mlp1_alpha': np.float64(0.010620646449521164), 'mlp1_hidden_layers': (768, 256), 'mlp1_learning_rate': 'adaptive', 'mlp1_learning_rate_init': np.float64(0.0002732561840036902), 'mlp1_max_iter': 678, 'mlp1_solver': 'sgd', 'mlp2_activation': 'tanh', 'mlp2_alpha': np.float64(0.0008032917181247905), 'mlp2_hidden_layers': (256, 128), 'mlp2_learning_rate': 'adaptive', 'mlp2_learning_rate_init': np.float64(0.04423760533150092), 'mlp2_max_iter': 1412, 'mlp2_solver': 'sgd', 'mlp3_activation': 'tanh', 'mlp3_alpha': np.float64(0.0065744440488909395), 'mlp3_hidden_layers': (100, 50, 25), 'mlp3_learning_rate': 'adaptive', 'mlp3_learning_rate_init': np.float64(0.0002749571776230201), 'mlp3_max_iter': 793, 'mlp3_solver': 'adam'}",logistic,0.010620646449521164,"(768, 256)",adaptive,0.0002732561840036902,678,sgd,tanh,0.0008032917181247905,"(256, 128)",adaptive,0.04423760533150092,1412,sgd,tanh,0.0065744440488909395,"(100, 50, 25)",adaptive,0.0002749571776230201,793,adam
